geoid,FIPS,geoid20,year,denom_total_pop,lowaccess_count,lowaccess_li_count,lowaccess_kids_count,lowaccess_seniors_count,pct_lowaccess,pct_lowaccess_li,pct_lowaccess_kids
1400000U,06037101110,6037101110,2019,4731,115,37,18,12,0.024307757,0.007820757,0.003804692
1400000U,06037101122,6037101122,2019,3664,1704,137,292,260,0.465065502,0.03739083,0.079694323
1400000U,06037101220,6037101220,2019,3363,0,0,0,0,0,0,0
1400000U,06037101221,6037101221,2019,3260,0,0,0,0,0,0,0
1400000U,06037101222,6037101222,2019,2730,0,0,0,0,0,0,0
1400000U,06037101300,6037101300,2019,4199,15,2,2,3,0.003572279,0.000476304,0.000476304
1400000U,06037101400,6037101400,2019,3903,323,57,56,49,0.082756854,0.014604151,0.014347937
1400000U,06037102103,6037102103,2019,1740,256,36,41,46,0.147126437,0.020689655,0.023563218
1400000U,06037102104,6037102104,2019,3644,3573,1200,546,514,0.980515917,0.329308452,0.149835346
1400000U,06037102105,6037102105,2019,1731,1731,760,393,167,1,0.439052571,0.227036395
1400000U,06037102107,6037102107,2019,3851,1064,279,236,132,0.276291872,0.072448715,0.061282784
1400000U,06037103101,6037103101,2019,2670,357,70,51,51,0.133707865,0.026217228,0.019101124
1400000U,06037103102,6037103102,2019,4751,0,0,0,0,0,0,0
1400000U,06037103201,6037103201,2019,1621,549,181,97,92,0.338679827,0.111659469,0.059839605
1400000U,06037103202,6037103202,2019,3929,1331,439,234,222,0.338763044,0.111733265,0.059557139
1400000U,06037103300,6037103300,2019,3819,2904,276,598,448,0.760408484,0.072270228,0.156585494
1400000U,06037103401,6037103401,2019,3443,0,0,0,0,0,0,0
1400000U,06037103402,6037103402,2019,2700,0,0,0,0,0,0,0
1400000U,06037104103,6037104103,2019,4085,0,0,0,0,0,0,0
1400000U,06037104105,6037104105,2019,5411,0,0,0,0,0,0,0
1400000U,06037104108,6037104108,2019,5256,0,0,0,0,0,0,0
1400000U,06037104124,6037104124,2019,4174,889,41,129,123,0.212985146,0.009822712,0.030905606
1400000U,06037104201,6037104201,2019,4780,0,0,0,0,0,0,0
1400000U,06037104203,6037104203,2019,5210,0,0,0,0,0,0,0
1400000U,06037104204,6037104204,2019,3371,11,4,1,2,0.003263127,0.001186592,0.000296648
1400000U,06037104310,6037104310,2019,4921,0,0,0,0,0,0,0
1400000U,06037104321,6037104321,2019,2573,0,0,0,0,0,0,0
1400000U,06037104322,6037104322,2019,3425,0,0,0,0,0,0,0
1400000U,06037104401,6037104401,2019,3357,0,0,0,0,0,0,0
1400000U,06037104403,6037104403,2019,3265,0,0,0,0,0,0,0
1400000U,06037104404,6037104404,2019,3236,0,0,0,0,0,0,0
1400000U,06037104500,6037104500,2019,3293,0,0,0,0,0,0,0
1400000U,06037104610,6037104610,2019,3672,0,0,0,0,0,0,0
1400000U,06037104620,6037104620,2019,3539,0,0,0,0,0,0,0
1400000U,06037104701,6037104701,2019,4208,0,0,0,0,0,0,0
1400000U,06037104703,6037104703,2019,2389,0,0,0,0,0,0,0
1400000U,06037104704,6037104704,2019,4219,0,0,0,0,0,0,0
1400000U,06037104821,6037104821,2019,3514,0,0,0,0,0,0,0
1400000U,06037104822,6037104822,2019,2261,0,0,0,0,0,0,0
1400000U,06037104823,6037104823,2019,2520,0,0,0,0,0,0,0
1400000U,06037104824,6037104824,2019,2808,0,0,0,0,0,0,0
1400000U,06037106010,6037106010,2019,3148,1330,437,337,103,0.42249047,0.138818297,0.107052097
1400000U,06037106020,6037106020,2019,5556,1726,585,412,187,0.310655148,0.105291577,0.074154068
1400000U,06037106111,6037106111,2019,3153,3109,730,713,316,0.986045036,0.231525531,0.226133841
1400000U,06037106112,6037106112,2019,5945,1666,360,457,135,0.280235492,0.060555088,0.07687132
1400000U,06037106113,6037106113,2019,3493,0,0,0,0,0,0,0
1400000U,06037106114,6037106114,2019,5876,0,0,0,0,0,0,0
1400000U,06037106403,6037106403,2019,3825,0,0,0,0,0,0,0
1400000U,06037106405,6037106405,2019,3966,1204,538,363,70,0.303580434,0.135653051,0.091527988
1400000U,06037106406,6037106406,2019,4788,4788,1317,1293,491,1,0.275062657,0.270050125
1400000U,06037106407,6037106407,2019,2933,0,0,0,0,0,0,0
1400000U,06037106408,6037106408,2019,3463,0,0,0,0,0,0,0
1400000U,06037106510,6037106510,2019,5269,5269,1013,1630,395,1,0.192256595,0.309356614
1400000U,06037106520,6037106520,2019,5837,3921,1456,1074,383,0.671749186,0.249443207,0.183998629
1400000U,06037106603,6037106603,2019,2007,0,0,0,0,0,0,0
1400000U,06037106604,6037106604,2019,5019,4770,2605,1468,397,0.950388524,0.519027695,0.292488544
1400000U,06037106641,6037106641,2019,2317,2317,347,445,395,1,0.149762624,0.192058697
1400000U,06037106642,6037106642,2019,3236,885,90,187,149,0.273485785,0.027812114,0.057787392
1400000U,06037106643,6037106643,2019,4318,3529,346,769,440,0.817276517,0.08012969,0.178091709
1400000U,06037106645,6037106645,2019,3389,2289,383,428,514,0.675420478,0.113012688,0.126290941
1400000U,06037106646,6037106646,2019,3237,24,3,5,3,0.007414272,0.000926784,0.00154464
1400000U,06037106648,6037106648,2019,3890,0,0,0,0,0,0,0
1400000U,06037106649,6037106649,2019,2853,291,49,81,16,0.101997897,0.017174904,0.028391167
1400000U,06037107010,6037107010,2019,3247,0,0,0,0,0,0,0
1400000U,06037107020,6037107020,2019,5400,0,0,0,0,0,0,0
1400000U,06037108101,6037108101,2019,2230,723,92,138,133,0.324215247,0.041255605,0.061883408
1400000U,06037108102,6037108102,2019,3430,141,30,25,28,0.041107872,0.008746356,0.00728863
1400000U,06037108103,6037108103,2019,3255,2664,196,506,425,0.81843318,0.060215054,0.155453149
1400000U,06037108104,6037108104,2019,1698,1698,311,383,315,1,0.183156655,0.225559482
1400000U,06037108202,6037108202,2019,4824,1673,181,437,177,0.346807629,0.03752073,0.090588723
1400000U,06037108203,6037108203,2019,2716,1404,122,329,178,0.516936672,0.044918999,0.121134021
1400000U,06037108204,6037108204,2019,2835,1465,128,343,186,0.51675485,0.045149912,0.120987654
1400000U,06037109100,6037109100,2019,2489,49,24,15,5,0.019686621,0.009642427,0.006026517
1400000U,06037109200,6037109200,2019,2275,2012,247,460,267,0.884395604,0.108571429,0.202197802
