tract,sup_dist,csa,spa,ESRI_OID,Shape__Area,Shape__Length
06037199700,District 1,Los Angeles - Wholesale District,SPA 4 - Metro,2347,10410497.46,13808.46324
06037199801,District 1,Los Angeles - Lincoln Heights,SPA 4 - Metro,2348,3724106.854,9459.391827
06037199802,District 1,Los Angeles - Lincoln Heights,SPA 4 - Metro,2349,3296128.605,8868.744225
06037199900,District 1,Los Angeles - Lincoln Heights,SPA 4 - Metro,2350,4782360.923,10141.72802
06037201110,District 1,Los Angeles - El Sereno,SPA 4 - Metro,2351,10992458.06,15893.38364
06037201120,District 1,Los Angeles - El Sereno,SPA 4 - Metro,2352,8477293.326,13504.91777
06037201200,District 1,Los Angeles - El Sereno,SPA 4 - Metro,2353,4612278.714,10208.95052
06037201301,District 1,Los Angeles - El Sereno,SPA 4 - Metro,2354,9414202.778,18595.38854
06037201302,District 1,Los Angeles - Highland Park,SPA 4 - Metro,2355,10671943.71,14894.76655
06037201401,District 1,Los Angeles - El Sereno,SPA 4 - Metro,2356,14162701.11,15449.76247
06037201402,District 1,Los Angeles - El Sereno,SPA 4 - Metro,2357,20831565.22,18870.58277
06037201501,District 1,Los Angeles - El Sereno,SPA 4 - Metro,2358,9520485.641,14185.08924
06037201503,District 1,Los Angeles - El Sereno,SPA 4 - Metro,2359,4712856.253,9121.14428
06037201504,District 1,Los Angeles - El Sereno,SPA 4 - Metro,2360,3937450.052,9476.656464
06037201601,District 1,Los Angeles - El Sereno,SPA 4 - Metro,2361,5989464.779,10928.04197
06037201602,District 1,Los Angeles - El Sereno,SPA 4 - Metro,2362,11481095.91,18567.40448
06037201700,District 1,Los Angeles - University Hills,SPA 4 - Metro,2363,18289606.43,20636.56683
06037203100,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,2364,7129819.722,11829.9124
06037203200,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,2365,5493896.245,10209.55033
06037203300,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,2366,15937496.74,15581.48376
06037203500,District 1,Los Angeles - Wholesale District,SPA 4 - Metro,2367,17896885.27,18825.82275
06037203601,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,2368,3595069.32,12438.14153
06037203602,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,2369,2435445.706,6781.753097
06037203710,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,2370,3036028.593,7623.779313
06037203720,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,2371,3456064.821,7965.718684
06037203800,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,2372,5236904.258,9426.913001
06037203900,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,2373,4820099.333,12064.04431
06037204110,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,2374,6496519.905,10204.59609
06037204120,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,2375,2822350.298,6970.228706
06037204200,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,2376,3242329.508,7623.72919
06037204300,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,2377,6926376.474,10887.97958
06037204410,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,2378,3196327.399,7592.69194
06037204420,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,2379,3252575.081,7655.412427
06037204600,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,2380,6201551.645,12222.88796
06037204700,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,2381,10907423.23,13331.46153
06037204810,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,2382,8327932.845,11953.62
06037204820,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,2383,3446622.072,8345.427607
06037204910,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,2384,5538623.95,9616.40759
06037204920,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,2385,9771951.948,12570.57535
06037205110,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,2386,2956008.295,9068.867215
06037205120,District 1,Los Angeles - Boyle Heights,SPA 4 - Metro,2387,15952710.96,19218.25358
06037206010,District 1,Los Angeles - Wholesale District,SPA 4 - Metro,2388,15714297.73,20599.43119
06037206020,District 1,Los Angeles - Wholesale District,SPA 4 - Metro,2389,9395603.394,11938.55636
06037206050,District 1,Los Angeles - Wholesale District,SPA 4 - Metro,2390,19183090.33,25485.7002
06037206051,District 1,Los Angeles - Wholesale District,SPA 4 - Metro,2477,40408764.94,29476.26196
06037206052,District 1,Los Angeles - Wholesale District,SPA 4 - Metro,2478,9776925.704,13446.59477
06037206053,District 1,Los Angeles - Wholesale District,SPA 4 - Metro,2479,6331758.787,10803.13034
06037206054,District 1,Los Angeles - Wholesale District,SPA 4 - Metro,2480,4502153.559,9300.340514
06037206201,District 1,Los Angeles - Little Tokyo,SPA 4 - Metro,2481,2156821.986,6937.901771
06037206202,District 1,Los Angeles - Little Tokyo,SPA 4 - Metro,2482,4114009.19,9646.074276
06037206301,District 1,Los Angeles - Wholesale District,SPA 4 - Metro,2483,1467235.076,4941.872097
06037206302,District 1,Los Angeles - Wholesale District,SPA 4 - Metro,2484,483653.2412,3603.263688
06037206303,District 1,Los Angeles - Wholesale District,SPA 4 - Metro,2485,4692073.156,10612.52856
06037207101,District 1,Los Angeles - Chinatown,SPA 4 - Metro,2486,3165333.106,7693.962372
06037207102,District 1,Los Angeles - Chinatown,SPA 4 - Metro,2487,4502100.257,9892.578697
06037207103,District 1,Los Angeles - Chinatown,SPA 4 - Metro,2488,3388155.936,9522.763573
06037207303,District 1,Los Angeles - Downtown,SPA 4 - Metro,2489,1888040.552,5575.259069
06037207304,District 1,Los Angeles - Downtown,SPA 4 - Metro,2490,541446.2529,3459.976863
06037207305,District 1,Los Angeles - Downtown,SPA 4 - Metro,2491,2182714.78,8262.43864
06037207306,District 1,Los Angeles - Downtown,SPA 4 - Metro,2492,1736073.656,5646.000822
06037207307,District 1,Los Angeles - Downtown,SPA 4 - Metro,2493,527160.0469,2910.616691
06037207308,District 1,Los Angeles - Downtown,SPA 4 - Metro,2494,492573.751,2815.257443
06037207400,District 1,Los Angeles - Downtown,SPA 4 - Metro,2495,9422939.104,15058.8006
06037207501,District 1,Los Angeles - Downtown,SPA 4 - Metro,2496,1460154.432,4739.840356
06037207502,District 1,Los Angeles - Downtown,SPA 4 - Metro,2497,4463490.012,9079.039955
06037207711,District 1,Los Angeles - Downtown,SPA 4 - Metro,2498,7428549.182,14671.25667
06037207712,District 1,Los Angeles - Downtown,SPA 4 - Metro,2499,4383784.372,9437.955472
06037207901,District 1,Los Angeles - Downtown,SPA 4 - Metro,2500,2128884.62,6828.323144
06037207902,District 1,Los Angeles - Downtown,SPA 4 - Metro,2501,7634284.114,11075.60027
06037208001,District 1,Los Angeles - Temple-Beaudry,SPA 4 - Metro,2502,6277025.371,11140.08552
06037208002,District 1,Los Angeles - Temple-Beaudry,SPA 4 - Metro,2503,4063649.021,8994.419852
06037208301,District 1,Los Angeles - Temple-Beaudry,SPA 4 - Metro,2504,1059097.596,5122.536346
06037208302,District 1,Los Angeles - Historic Filipinotown,SPA 4 - Metro,2505,4716446.304,9773.07262
06037208401,District 1,Los Angeles - Temple-Beaudry,SPA 4 - Metro,2506,2469648.369,6288.091978
06037208402,District 1,Los Angeles - Historic Filipinotown,SPA 4 - Metro,2507,3704274.592,8618.234565
06037208501,District 1,Los Angeles - Historic Filipinotown,SPA 4 - Metro,2508,2614754.837,6561.528141
06037208502,District 1,Los Angeles - Temple-Beaudry,SPA 4 - Metro,2509,2796254.319,6766.576918
06037208610,District 1,Los Angeles - Historic Filipinotown,SPA 4 - Metro,2510,3802019.996,8257.266395
06037208620,District 1,Los Angeles - Temple-Beaudry,SPA 4 - Metro,2511,3490954.759,8191.681167
06037208710,District 1,Los Angeles - Westlake,SPA 4 - Metro,2512,1824918.229,5646.281765
06037208720,District 1,Los Angeles - Westlake,SPA 4 - Metro,2513,1753988.314,6905.126175
06037208801,District 1,Los Angeles - Westlake,SPA 4 - Metro,2514,2902686.711,7792.473191
06037208802,District 1,Los Angeles - Westlake,SPA 4 - Metro,2515,2279363.023,7692.527836
06037208902,District 1,Los Angeles - Westlake,SPA 4 - Metro,2516,1980055.598,5658.493038
06037208903,District 1,Los Angeles - Westlake,SPA 4 - Metro,2517,1714545.078,7038.479644
06037208904,District 1,Los Angeles - Westlake,SPA 4 - Metro,2518,1224138.453,4504.137119
06037209103,District 1,Los Angeles - Westlake,SPA 4 - Metro,2519,1337574.158,4685.369347
06037209104,District 1,Los Angeles - Westlake,SPA 4 - Metro,2607,735766.4385,3760.813998
06037209105,District 1,Los Angeles - Westlake,SPA 4 - Metro,2608,892285.9023,3984.962068
06037209106,District 1,Los Angeles - Westlake,SPA 4 - Metro,2609,2381529.056,6257.329915
06037209201,District 1,Los Angeles - Westlake,SPA 4 - Metro,2610,1818530.864,5562.088306
06037209202,District 1,Los Angeles - Westlake,SPA 4 - Metro,2611,2667667.431,6511.253069
06037209300,District 1,Los Angeles - Westlake,SPA 4 - Metro,2612,3296967.586,7931.18045
06037209401,District 1,Los Angeles - Westlake,SPA 4 - Metro,2613,2323375.792,6370.637612
06037209402,District 1,Los Angeles - Westlake,SPA 4 - Metro,2614,1466622.382,4849.886726
06037209403,District 1,Los Angeles - Westlake,SPA 4 - Metro,2615,1487585.052,4882.443192
06037209510,District 1,Los Angeles - Pico-Union,SPA 4 - Metro,2616,1963614.684,5807.605825
06037209520,District 1,Los Angeles - Pico-Union,SPA 4 - Metro,2617,2499111.244,6466.563304
06037209810,District 1,Los Angeles - Pico-Union,SPA 4 - Metro,2618,1660660.461,5390.00072
06037209820,District 1,Los Angeles - Pico-Union,SPA 4 - Metro,2619,1936268.193,5687.974114
