tract,families_all,fam_below_200fpl,fam_below_300fpl,fam_received_ssi_cash_assistanc,fam_below_fpl_pct,fam_below_200fpl_pct,fam_below_300fpl_pct,fam_received_assistance_pct,fam_below_fpl_received_assistan,assistance_per_100_fam_below_20,assistance_per_100_fam_below_30,sup_dist,csa,spa,calfresh_cases,calfresh_per_100_families,calfresh_per_100_fam_below_200f,calfresh_per_100_fam_below_300f,ESRI_OID,Shape__Area,Shape__Length
06037101110,1085,249,453,165,7.4,22.9,41.8,15.2,14.5,66.3,36.4,District 5,Los Angeles - Tujunga,SPA 2 - San Fernando,504,46.5,202.4,111.3,1,12329806.2148438,14765.6490038758
06037101122,988,81,180,88,2.8,8.2,18.2,8.9,0,108.6,48.9,District 5,Los Angeles - Tujunga,SPA 2 - San Fernando,210,21.3,259.3,116.7,2,29088657.1923828,30028.2137708717
06037101220,960,328,458,193,13.5,34.2,47.7,20.1,22.3,58.8,42.1,District 5,Los Angeles - Tujunga,SPA 2 - San Fernando,393,40.9,119.8,85.8,3,7532651.15527344,12504.5521301933
06037101221,934,398,545,369,10.3,42.6,58.4,39.5,19,92.7,67.7,District 5,Los Angeles - Tujunga,SPA 2 - San Fernando,501,53.6,125.9,91.9,4,3874399.41796875,8938.42134861514
06037101222,681,462,558,151,33.2,67.8,81.9,22.2,19.2,32.7,27.1,District 5,Los Angeles - Tujunga,SPA 2 - San Fernando,401,58.9,86.8,71.9,5,3090537.72753906,9750.96042020995
06037101300,1069,95,257,200,5.3,8.9,24,18.7,21,210.5,77.8,District 5,Los Angeles - Tujunga,SPA 2 - San Fernando,252,23.6,265.3,98.1,6,27694822.4121094,28700.8705710272
06037101400,879,206,336,79,2.5,23.4,38.2,9,0,38.3,23.5,District 5,Los Angeles - Tujunga,SPA 2 - San Fernando,304,34.6,147.6,90.5,7,67867979.1171875,41887.3323731771
06037102103,520,149,247,63,4.6,28.7,47.5,12.1,0,42.3,25.5,District 5,Los Angeles - Sun Valley,SPA 2 - San Fernando,211,40.6,141.6,85.4,8,12811195.3740234,16198.5518254667
06037102104,1012,214,278,142,5.6,21.1,27.5,14,0,66.4,51.1,District 5,Los Angeles - Sun Valley,SPA 2 - San Fernando,226,22.3,105.6,81.3,9,17933361.9628906,27118.7081563965
06037102105,429,103,152,46,7.9,24,35.4,10.7,0,44.7,30.3,District 5,Los Angeles - Sun Valley,SPA 2 - San Fernando,148,34.5,143.7,97.4,10,5257057.125,9952.66420243989
06037102107,957,245,385,144,5.3,25.6,40.2,15,9.7,58.8,37.4,District 5,Los Angeles - Sunland,SPA 2 - San Fernando,268,28,109.4,69.6,11,139121771.666016,63442.6564858111
06037103101,694,111,191,15,3.2,16,27.5,2.2,0,13.5,7.9,District 5,Los Angeles - Sunland,SPA 2 - San Fernando,183,26.4,164.9,95.8,12,21327764.9394531,24165.7669241483
06037103102,1216,254,437,173,2.5,20.9,35.9,14.2,0,68.1,39.6,District 5,Los Angeles - Sunland,SPA 2 - San Fernando,516,42.4,203.1,118.1,13,13323875.8798828,16273.2413130881
06037103201,1010,234,292,57,10.1,23.2,28.9,5.6,0,24.4,19.5,District 5,Los Angeles - Sunland,SPA 2 - San Fernando,365,36.1,156,125,14,21040409.2324219,18173.2239589304
06037103202,569,24,53,40,0,4.2,9.3,7,0,166.7,75.5,District 5,Los Angeles - Lakeview Terrace,SPA 2 - San Fernando,97,17,404.2,183,15,51185007.7939453,44562.150658153
06037103300,898,78,147,130,2.6,8.7,16.4,14.5,0,166.7,88.4,District 5,Los Angeles - Shadow Hills,SPA 2 - San Fernando,146,16.3,187.2,99.3,16,66024681.0556641,37007.098020571
06037103401,663,145,158,82,7.7,21.9,23.8,12.4,0,56.6,51.9,District 5,Los Angeles - Sunland,SPA 2 - San Fernando,161,24.3,111,101.9,17,15045317.2578125,20208.4809663066
06037103402,1054,55,120,46,3.9,5.2,11.4,4.4,34.8,83.6,38.3,District 5,Los Angeles - Sunland,SPA 2 - San Fernando,332,31.5,603.6,276.7,18,11987350.8457031,14259.8471616325
06037104103,746,118,262,118,2.8,15.8,35.1,15.8,0,100,45,District 5,Los Angeles - Lakeview Terrace,SPA 2 - San Fernando,249,33.4,211,95,19,10007491.6875,12992.0373117186
06037104105,1277,631,891,288,22.6,49.4,69.8,22.6,39.6,45.6,32.3,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,513,40.2,81.3,57.6,20,6295469.3984375,11639.6968948502
06037104108,1064,516,732,216,16.4,48.5,68.8,20.3,18.5,41.9,29.5,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,497,46.7,96.3,67.9,21,11698537.2763672,18498.0049415872
06037104124,951,261,431,108,4.7,27.4,45.3,11.4,0,41.4,25.1,District 5,Unincorporated - Kagel/Lopez Canyons,SPA 2 - San Fernando,242,25.4,92.7,56.1,22,47953358.1806641,37473.8141348432
06037104201,759,230,447,41,8.2,30.3,58.9,5.4,63.4,17.8,9.2,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,311,41,135.2,69.6,23,11778994.3974609,14691.8972461659
06037104203,1016,554,741,92,28.5,54.5,72.9,9.1,19.6,16.6,12.4,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,413,40.6,74.5,55.7,24,7619758.296875,11052.5266501792
06037104204,677,306,430,88,10.3,45.2,63.5,13,11.4,28.8,20.5,District 5,Los Angeles - Lakeview Terrace,SPA 2 - San Fernando,228,33.7,74.5,53,25,28691700.7539063,29780.4311142764
06037104310,790,197,445,65,9.6,24.9,56.3,8.2,18.5,33,14.6,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,334,42.3,169.5,75.1,26,16008672.9794922,19026.1836900057
06037104321,542,167,357,12,12.4,30.8,65.9,2.2,0,7.2,3.4,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,293,54.1,175.4,82.1,27,5595372.671875,10641.697631319
06037104322,417,111,225,80,0,26.6,54,19.2,0,72.1,35.6,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,150,36,135.1,66.7,28,7498677.06640625,14606.3833433496
06037104401,514,196,332,42,15.8,38.1,64.6,8.2,0,21.4,12.7,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,217,42.2,110.7,65.4,29,7474268.68945313,12419.644324963
06037104403,489,143,247,74,12.3,29.2,50.5,15.1,17.6,51.7,30,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,198,40.5,138.5,80.2,30,7398381.78320313,16067.758161955
06037104404,704,321,447,66,22.7,45.6,63.5,9.4,54.5,20.6,14.8,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,204,29,63.6,45.6,31,5808075.99707031,10935.7071888996
06037104500,526,183,303,36,18.6,34.8,57.6,6.8,0,19.7,11.9,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,238,45.2,130.1,78.5,32,5715318.89160156,11300.664483623
06037104610,632,312,417,73,10.3,49.4,66,11.6,0,23.4,17.5,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,204,32.3,65.4,48.9,33,6371675.47460938,11599.2417873073
06037104620,637,271,402,74,12.1,42.5,63.1,11.6,6.8,27.3,18.4,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,206,32.3,76,51.2,34,5716579.41699219,11300.4360398197
06037104701,771,578,659,200,32.3,75,85.5,25.9,41.5,34.6,30.3,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,357,46.3,61.8,54.2,35,5925369.99023438,11097.7272401209
06037104703,476,227,315,68,22.3,47.7,66.2,14.3,54.4,30,21.6,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,213,44.7,93.8,67.6,36,12497379.4765625,15258.6129943213
06037104704,989,506,640,85,23.6,51.2,64.7,8.6,64.7,16.8,13.3,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,269,27.2,53.2,42,37,17921965.6357422,16919.1964901945
06037104821,692,284,418,105,16.2,41,60.4,15.2,36.2,37,25.1,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,258,37.3,90.8,61.7,38,5724316.27636719,11302.2406259718
06037104822,464,185,295,42,15.5,39.9,63.6,9.1,38.1,22.7,14.2,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,199,42.9,107.6,67.5,39,6475210.70605469,13768.6387256463
06037104823,579,245,360,68,15.5,42.3,62.2,11.7,48.5,27.8,18.9,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,162,28,66.1,45,40,5718934.2578125,11300.8023205029
06037104824,425,94,219,13,0,22.1,51.5,3.1,0,13.8,5.9,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,115,27.1,122.3,52.5,41,6374083.48828125,11599.6779386916
06037106010,788,68,205,83,2.9,8.6,26,10.5,0,122.1,40.5,District 3,Los Angeles - Sylmar,SPA 2 - San Fernando,176,22.3,258.8,85.9,42,27335436.6582031,23881.0654786666
06037106020,994,266,428,68,12.3,26.8,43.1,6.8,8.8,25.6,15.9,District 3,Los Angeles - Sylmar,SPA 2 - San Fernando,286,28.8,107.5,66.8,43,21441404.3994141,22165.1278355623
06037106111,1051,160,264,94,1.5,15.2,25.1,8.9,7.4,58.8,35.6,District 3,Los Angeles - Sylmar,SPA 2 - San Fernando,219,20.8,136.9,83,44,29954716.9316406,27404.3626081286
06037106112,1140,276,488,169,12.5,24.2,42.8,14.8,16.6,61.2,34.6,District 3,Los Angeles - Sylmar,SPA 2 - San Fernando,303,26.6,109.8,62.1,45,34795935.4101563,48958.7063304224
06037106113,901,199,295,74,4.7,22.1,32.7,8.2,6.8,37.2,25.1,District 3,Los Angeles - Sylmar,SPA 2 - San Fernando,212,23.5,106.5,71.9,46,15561539.0332031,19777.6737746915
06037106114,1406,587,813,86,15,41.7,57.8,6.1,38.4,14.7,10.6,District 3,Los Angeles - Sylmar,SPA 2 - San Fernando,536,38.1,91.3,65.9,47,10988107.5507813,17058.2661316265
06037106403,683,213,347,113,4,31.2,50.8,16.5,9.7,53.1,32.6,District 3,Los Angeles - Sylmar,SPA 2 - San Fernando,250,36.6,117.4,72,48,11902775.5966797,14300.038725537
06037106405,848,306,480,44,16.7,36.1,56.6,5.2,40.9,14.4,9.2,District 3,Los Angeles - Sylmar,SPA 2 - San Fernando,232,27.4,75.8,48.3,49,12580823.1289063,14491.0390638944
