OBJECTID,tract,name,hs_grad,sup_dist,csa,spa,SHAPE_Length,SHAPE_Area
1,06037101110,1011.10,90.5,District 5,Los Angeles - Tujunga,SPA 2 - San Fernando,0.0462610863665147,0.000112127699049048
2,06037101122,1011.22,83.9,District 5,Los Angeles - Tujunga,SPA 2 - San Fernando,0.0907605526480155,0.000264559821407328
3,06037980004,9800.04,,District 5,City of Palmdale,SPA 1 - Antelope Valley,0.267915221672445,0.00352455671220229
4,06037101220,1012.20,75.1,District 5,Los Angeles - Tujunga,SPA 2 - San Fernando,0.0378759801811866,6.84956891371304e-05
5,06037101221,1012.21,76.5,District 5,Los Angeles - Tujunga,SPA 2 - San Fernando,0.0284322016127255,3.52316634865533e-05
6,06037980005,9800.05,,District 4,City of Torrance,SPA 8 - South Bay,0.100740728265471,0.000394853005192135
7,06037101222,1012.22,82.4,District 5,Los Angeles - Tujunga,SPA 2 - San Fernando,0.0295237778535745,2.81027145566469e-05
8,06037101300,1013,92.6,District 5,Los Angeles - Tujunga,SPA 2 - San Fernando,0.0836748609976803,0.000251824595974593
9,06037980006,9800.06,,District 4,City of Long Beach,SPA 8 - South Bay,0.107834608244382,0.000327490439900908
10,06037101400,1014,91,District 5,Los Angeles - Tujunga,SPA 2 - San Fernando,0.131523158020259,0.000617071391319795
11,06037102103,1021.03,95.3,District 5,Los Angeles - Sun Valley,SPA 2 - San Fernando,0.0512422036440374,0.0001164553445326
12,06037980007,9800.07,,District 4,City of Long Beach,SPA 8 - South Bay,0.0720424799655143,0.00026306032169042
13,06037102104,1021.04,91.5,District 5,Los Angeles - Sun Valley,SPA 2 - San Fernando,0.082251151445393,0.00016300188772282
14,06037102105,1021.05,81.1,District 5,Los Angeles - Sun Valley,SPA 2 - San Fernando,0.0301253021240425,4.77795164184959e-05
15,06037980022,9800.22,,District 3,Los Angeles - Granada Hills,SPA 2 - San Fernando,0.123029196632323,0.000631484579688649
16,06037102107,1021.07,88.1,District 5,Los Angeles - Sunland,SPA 2 - San Fernando,0.197624094842548,0.00126489094756551
17,06037103101,1031.01,92.2,District 5,Los Angeles - Sunland,SPA 2 - San Fernando,0.0746781450509766,0.00019398671809541
18,06037980023,9800.23,,District 3,Los Angeles - West Hills,SPA 2 - San Fernando,0.121263588422976,0.000517470393089504
19,06037103102,1031.02,81.9,District 5,Los Angeles - Sunland,SPA 2 - San Fernando,0.0506826601332393,0.000121173446765966
20,06037103201,1032.01,81.8,District 5,Los Angeles - Sunland,SPA 2 - San Fernando,0.0556178531182789,0.000191356442629857
21,06037103202,1032.02,89.6,District 5,Los Angeles - Lakeview Terrace,SPA 2 - San Fernando,0.141018974040025,0.000465549408328074
22,06037103300,1033,95.3,District 5,Los Angeles - Shadow Hills,SPA 2 - San Fernando,0.114633669088259,0.000600416694410168
23,06037103401,1034.01,91,District 5,Los Angeles - Sunland,SPA 2 - San Fernando,0.0628655248727668,0.000136814252032705
24,06037103402,1034.02,85.4,District 5,Los Angeles - Sunland,SPA 2 - San Fernando,0.044502350980655,0.000109008562734434
25,06037104103,1041.03,70,District 5,Los Angeles - Lakeview Terrace,SPA 2 - San Fernando,0.0409791324309265,9.10332387698935e-05
26,06037104105,1041.05,56.7,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,0.035638748158388,5.72626303102208e-05
27,06037104108,1041.08,63.1,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,0.0569096843675505,0.000106404473677359
28,06037104124,1041.24,83,District 5,Unincorporated - Kagel/Lopez Canyons,SPA 2 - San Fernando,0.11408534792162,0.000436234910019946
29,06037104201,1042.01,56.7,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,0.0446565081009536,0.00010715260349223
30,06037104203,1042.03,57.5,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,0.0336039571909656,6.93105880657621e-05
31,06037104204,1042.04,67.8,District 5,Los Angeles - Lakeview Terrace,SPA 2 - San Fernando,0.091139263473672,0.000261016918929951
32,06037104310,1043.10,56.6,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,0.0577428488736943,0.000145612685315309
33,06037104321,1043.21,54.1,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,0.0325444305427343,5.08918566599647e-05
34,06037104322,1043.22,51.2,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,0.0444345942318564,6.8204838934118e-05
35,06037104401,1044.01,53.3,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,0.0383631760968953,6.7977437077289e-05
36,06037104403,1044.03,56.4,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,0.0483154937827604,6.72808638223214e-05
37,06037104404,1044.04,50.9,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,0.033447215186511,5.2821363838147e-05
38,06037104500,1045,52.7,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,0.0341523198416058,5.19728409829675e-05
39,06037104610,1046.10,51,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,0.0350733038999509,5.79453863710711e-05
40,06037104620,1046.20,45.5,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,0.0341526052534918,5.1985373283439e-05
41,06037104701,1047.01,48.2,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,0.0339505821096779,5.38914677339997e-05
42,06037104703,1047.03,53.7,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,0.0469405067605751,0.000113648910086542
43,06037104704,1047.04,65.5,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,0.0514724825135648,0.000162988945205793
44,06037104821,1048.21,52.5,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,0.0341553444672414,5.20490941807863e-05
45,06037104822,1048.22,50.1,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,0.0415648009288998,5.8876216597546e-05
46,06037104823,1048.23,58.8,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,0.0341507162684958,5.20016408752607e-05
47,06037104824,1048.24,57,District 3,Los Angeles - Pacoima,SPA 2 - San Fernando,0.0350741875966818,5.7960598244649e-05
48,06037106010,1060.10,82.5,District 3,Los Angeles - Sylmar,SPA 2 - San Fernando,0.0747404164172914,0.000248782084805723
49,06037106020,1060.20,75.1,District 3,Los Angeles - Sylmar,SPA 2 - San Fernando,0.0676684846236966,0.000195132540540506
50,06037106111,1061.11,79.1,District 3,Los Angeles - Sylmar,SPA 2 - San Fernando,0.083985750716125,0.000272603129052246
51,06037106112,1061.12,84.7,District 3,Los Angeles - Sylmar,SPA 2 - San Fernando,0.147677703107845,0.000316610611460511
52,06037106113,1061.13,75.8,District 3,Los Angeles - Sylmar,SPA 2 - San Fernando,0.0600779459472825,0.00014159631579018
53,06037106114,1061.14,66.3,District 3,Los Angeles - Sylmar,SPA 2 - San Fernando,0.0517478200455478,9.99772919155986e-05
54,06037106403,1064.03,54.3,District 3,Los Angeles - Sylmar,SPA 2 - San Fernando,0.0435662088795871,0.000108304551988289
55,06037106405,1064.05,63.2,District 3,Los Angeles - Sylmar,SPA 2 - San Fernando,0.0440189604775989,0.000114485534615421
56,06037106406,1064.06,69.4,District 3,Los Angeles - Sylmar,SPA 2 - San Fernando,0.0639035323466137,0.000196327769085436
57,06037106407,1064.07,60.2,District 3,Los Angeles - Sylmar,SPA 2 - San Fernando,0.0193310848441502,2.27293363605866e-05
58,06037106408,1064.08,77.7,District 3,Los Angeles - Sylmar,SPA 2 - San Fernando,0.0191454752112069,2.24359198630649e-05
59,06037106510,1065.10,79.4,District 3,Los Angeles - Sylmar,SPA 2 - San Fernando,0.11417245741467,0.000565523923812126
60,06037106520,1065.20,72.8,District 3,Los Angeles - Sylmar,SPA 2 - San Fernando,0.0602548470824272,0.000216044057181443
61,06037106603,1066.03,94.6,District 3,Los Angeles - Granada Hills,SPA 2 - San Fernando,0.146795289497092,0.0010107150006389
62,06037106604,1066.04,61.8,District 3,Los Angeles - Sylmar,SPA 2 - San Fernando,0.0798120184913841,0.000255764703932063
63,06037106641,1066.41,93,District 3,Los Angeles - Granada Hills,SPA 2 - San Fernando,0.0558648633121103,0.000113180579838357
64,06037106642,1066.42,93.6,District 3,Los Angeles - Granada Hills,SPA 2 - San Fernando,0.0583554120852311,0.000153944821862277
65,06037106643,1066.43,93.3,District 3,Los Angeles - Granada Hills,SPA 2 - San Fernando,0.0977445081388133,0.000424408203043678
66,06037106645,1066.45,93.2,District 3,Los Angeles - Granada Hills,SPA 2 - San Fernando,0.0863869930130383,0.000245144918289446
67,06037106646,1066.46,90.9,District 3,Los Angeles - Granada Hills,SPA 2 - San Fernando,0.0675559756557521,0.000146825992793234
68,06037106648,1066.48,58,District 3,Los Angeles - Sylmar,SPA 2 - San Fernando,0.0390578426690997,7.97869282788184e-05
