X,Y,Record_ID,Store_Name,Store_Street_Address,Additonal_Address,City,State,Zip_Code,Zip4,County,Store_Type,Latitude,Longitude,Incentive_Program,Grantee_Name,ObjectId
-118.38191,34.054405,253280,GLATT MART 1,8708 W Pico Blvd,,Los Angeles,CA,90035,2206,LOS ANGELES,Super Store,34.054405,-118.38191,,,5
-118.2141,34.069725,242790,ABC MARKET,2100 Workman St,,Los Angeles,CA,90031,3035,LOS ANGELES,Convenience Store,34.069725,-118.2141,,,103
-118.01152,34.097252,242960,Los Toros Meat Mkt #2,5225 Peck Rd,,El Monte,CA,91732,1122,LOS ANGELES,Grocery Store,34.097252,-118.01152,,,116
-118.25647,34.00705,254038,Mercado Garibaldi,4212 S Central Ave,,Los Angeles,CA,90011,3002,LOS ANGELES,Grocery Store,34.00705,-118.25647,,,163
-118.11625,34.579937,254109,7-ELEVEN 24483 C,703 E Palmdale Blvd,,Palmdale,CA,93550,4741,LOS ANGELES,Convenience Store,34.579937,-118.11625,,,169
-118.36813,34.139675,251805,Ralphs Fresh Fare 133,10901 Ventura Blvd,,Studio City,CA,91604,3341,LOS ANGELES,Super Store,34.139675,-118.36813,,,260
-117.7288,34.062954,251810,HOA BINH POMONA SUPERMARKET,1093 E Holt Ave,,Pomona,CA,91767,5726,LOS ANGELES,Super Store,34.062954,-117.7288,,,262
-118.2096,33.980381,354860,Georges Liquor Market 0,3224 E Gage Ave,,Huntington Park,CA,90255,5405,LOS ANGELES,Convenience Store,33.980381,-118.2096,,,334
-118.22414,33.974331,1561611,Jn Mart,2625 E Florence Ave,Ste D,Huntington Park,CA,90255,4756,LOS ANGELES,Convenience Store,33.974331,-118.22414,,,335
-118.47261,34.02737,250160,Ralphs Fresh Fare 292,1644 Cloverfield Blvd,,Santa Monica,CA,90404,4006,LOS ANGELES,Super Store,34.02737,-118.47261,,,395
-117.92565,34.044193,252488,FASTRIP FOOD STORE,1400 Valinda Ave,,La Puente,CA,91744,1436,LOS ANGELES,Convenience Store,34.044193,-117.92565,,,431
-118.40502,34.186695,252600,7-ELEVEN 18607 B,12463 Victory Blvd,,North Hollywood,CA,91606,3139,LOS ANGELES,Convenience Store,34.186695,-118.40502,,,441
-118.10508,33.985016,250221,Walmart 2886,8500 WASHINGTON BLVD,,PICO RIVERA,CA,90660,    ,LOS ANGELES,Super Store,33.985016,-118.10508,,,503
-118.50122,34.208515,255027,Balboa Market,7613 Balboa Blvd,,Van Nuys,CA,91406,2203,LOS ANGELES,Grocery Store,34.208515,-118.50122,,,573
-118.29078,34.069107,255410,VONS 2261,3461 W 3rd St,,Los Angeles,CA,90020,1604,LOS ANGELES,Supermarket,34.069107,-118.29078,,,608
-118.18212,34.114624,250569,York Square Liquor,6312 York Blvd,,Los Angeles,CA,90042,3640,LOS ANGELES,Convenience Store,34.114624,-118.18212,,,647
-117.87888,34.090897,250814,G & H Liquor,606 E San Bernardino Rd,,Covina,CA,91723,1733,LOS ANGELES,Convenience Store,34.090897,-117.87888,,,665
-118.30773,34.052631,245467,GALLERIA MARKET,3250 W Olympic Blvd,Ste 100,Los Angeles,CA,90006,2370,LOS ANGELES,Super Store,34.052631,-118.30773,,,814
-118.26444,34.163143,245782,Gyumri Market & Deli,452 W Stocker St,Ste B,Glendale,CA,91202,3262,LOS ANGELES,Grocery Store,34.163143,-118.26444,,,848
-118.16991,34.018719,245970,Lucky Market,4635 E Olympic Blvd,,Los Angeles,CA,90022,3701,LOS ANGELES,Convenience Store,34.018719,-118.16991,,,861
-118.51774,34.172241,246252,Trader Joe's 56,17640 Burbank Blvd,,Encino,CA,91316,1725,LOS ANGELES,Supermarket,34.172241,-118.51774,,,882
-118.36819,34.16486,244166,RALPHS GROCERY COMPANY 56,10900 Magnolia Blvd,,North Hollywood,CA,91601,3903,LOS ANGELES,Super Store,34.16486,-118.36819,,,902
-117.7062,34.121593,244864,VONS 2155,550 E Baseline Rd,,Claremont,CA,91711,2236,LOS ANGELES,Supermarket,34.121593,-117.7062,,,971
-118.21269,33.804359,270667,Big Saver Foods 15,1500 W Willow St,,Long Beach,CA,90810,3121,LOS ANGELES,Super Store,33.804359,-118.21269,,,1030
-118.31764,34.105278,270935,GELSONS MARKET 114,5877 Franklin Ave,,Los Angeles,CA,90028,5618,LOS ANGELES,Supermarket,34.105278,-118.31764,,,1047
