,tract,census tract,sup_dist,csa,spa,ESRI_OID,Shape__Area,Shape__Length,Total Woman 15-50,Women with births 12 Months,Total Population,Birth Rate,Fertility Rate,Low Birth Weight,Low Birth Weight Pctl,Average income,Grocery Store Access,Grocery Store Access Percent
0,6037199700,06037199700,District 1,Los Angeles - Wholesale District,SPA 4 - Metro,2347,10410497.46,13808.46324,678,23,3393,0.006778661951,0.03392330383,6.52,83.85,38892,0,0
0,6037199801,06037199801,District 1,Los Angeles - Lincoln Heights,SPA 4 - Metro,2348,3724106.854,9459.391827,911,85,3036,0.02799736495,0.09330406147,0,0,41027,0,0
0,6037199802,06037199802,District 1,Los Angeles - Lincoln Heights,SPA 4 - Metro,2349,3296128.605,8868.744225,458,15,2144,0.006996268657,0.0327510917,0,0,42500,0,0
0,6037199900,06037199900,District 1,Los Angeles - Lincoln Heights,SPA 4 - Metro,2350,4782360.923,10141.72802,573,10,2641,0.003786444529,0.01745200698,5.43,62.88,37232,0,0
0,6037201110,06037201110,District 1,Los Angeles - El Sereno,SPA 4 - Metro,2351,10992458.06,15893.38364,715,37,2332,0.01586620926,0.05174825175,7.08,90.67,65000,0,0
0,6037201120,06037201120,District 1,Los Angeles - El Sereno,SPA 4 - Metro,2352,8477293.326,13504.91777,886,38,4395,0.008646188851,0.04288939052,6.4,82.14,78750,0,0
0,6037201200,06037201200,District 1,Los Angeles - El Sereno,SPA 4 - Metro,2353,4612278.714,10208.95052,581,31,2362,0.01312447079,0.05335628227,6.61,85.17,49500,0,0
0,6037201301,06037201301,District 1,Los Angeles - El Sereno,SPA 4 - Metro,2354,9414202.778,18595.38854,672,24,3409,0.007040187738,0.03571428571,8.02,96.51,66658,0,0
0,6037201302,06037201302,District 1,Los Angeles - Highland Park,SPA 4 - Metro,2355,10671943.71,14894.76655,954,13,3882,0.003348789284,0.01362683438,4.06,28.07,102654,0,0
0,6037201401,06037201401,District 1,Los Angeles - El Sereno,SPA 4 - Metro,2356,14162701.11,15449.76247,1340,127,4701,0.02701552861,0.0947761194,6.14,77.94,53050,3,0.000620219
0,6037201402,06037201402,District 1,Los Angeles - El Sereno,SPA 4 - Metro,2357,20831565.22,18870.58277,821,38,4046,0.009391992091,0.04628501827,4.92,50.19,54137,878,0.203665043
0,6037201501,06037201501,District 1,Los Angeles - El Sereno,SPA 4 - Metro,2358,9520485.641,14185.08924,1345,77,4974,0.01548049859,0.05724907063,8.35,97.68,69153,0,0
0,6037201503,06037201503,District 1,Los Angeles - El Sereno,SPA 4 - Metro,2359,4712856.253,9121.14428,983,25,3059,0.008172605427,0.02543234995,5.72,69.35,50344,0,0
0,6037201504,06037201504,District 1,Los Angeles - El Sereno,SPA 4 - Metro,2360,3937450.052,9476.656464,639,15,2254,0.006654835847,0.0234741784,7.34,92.78,59167,0,0
0,6037201601,06037201601,District 1,Los Angeles - El Sereno,SPA 4 - Metro,2361,5989464.779,10928.04197,440,47,2183,0.02153000458,0.1068181818,10.24,99.65,47465,0,0
0,6037201602,06037201602,District 1,Los Angeles - El Sereno,SPA 4 - Metro,2362,11481095.91,18567.40448,606,15,2686,0.005584512286,0.02475247525,4.8,46.77,65625,0,0
0,6037201700,06037201700,District 1,Los Angeles - University Hills,SPA 4 - Metro,2363,18289606.43,20636.56683,1540,71,5055,0.01404549951,0.0461038961,5.96,74.39,64844,796,0.156292951
